사고유형,사고위치(지번),사고장소,119출동,위험요인,선정연도,정제우편번호,정제WGS84위도,정제WGS84경도
추락사고,경기도 연천군 전곡읍 전곡리 325-93,크로바농장 옆 공터(밭),1회(사고위험),시야확보의 어려움 및 경사면으로 추락사고 위험,2021년,,38.0239592386,127.0746629654
수난사고,경기도 수원시 장안구 율전동 478-3,일월저수지,5회(사고위험),풍수해 및 해빙기 저수지 얼음깨짐 등 수난사고 위험,2020년,16416,37.2883091818,126.9714153195
수난사고,경기도 수원시 팔달구 화서동 436-1,서호저수지,7회(사고빈발),풍수해 및 해빙기 저수지 얼음깨짐 등 수난사고 위험,2020년,16432,37.2805561755,126.9878757885
수난사고,경기도 성남시 수정구 둔전동 216-1,둔전교 지하차도,0회(사고위험),호우특보시 저지대로 인한 차량침수 및 고립사고 위험,2020년,13102,37.4265385515,127.1166413768
수난사고,경기도 성남시 분당구 동원동 323-2,낙생저수지,1회(사고위험),풍수해 및 해빙기 저수지 얼음깨짐 등 수난사고 위험,2020년,,37.3537710944,127.0750012666
수난사고,경기도 부천시 상동 529-10,굴포천 수로,1회(사고위험),국가하천으로 낚시객 및 자전거 추락 등 수난사고 위험,2020년,14505,37.5149981354,126.7460570613
생활안전(고드름),경기도 안양시 동안구 비산동 562-2,비산지하차도,16회(사고빈발),지하차도 내 고드름 생성으로 고드름 안전사고 위험,2020년,13955,37.3988796095,126.9325040207
수난사고,경기도 안산시 단원구 대부남동 산 344,쪽박섬 등 소형섬 일대,10회(사고빈발),소형섬 일대 밀물(만조) 시 고립 및 수난사고 위험,2020년,15653,37.2146581684,126.5435876938
교통사고,경기도 용인시 처인구 양지면 양지리 847,양지사거리,4회(사고위험),과속 및 차량 통행량이 많은 지역으로 교통사고 위험,2020년,17158,37.2339066751,127.2877294630
교통사고,경기도 평택시 신대동 31-2,통복천 자전거 도로,0회(사고위험),자전거 라이딩 증가로 자전거사고 위험,2020년,,36.9966188960,127.0753686276
수난사고,경기도 평택시 서탄면 사리 855,금암저수지,0회(사고위험),풍수해 및 해빙기 저수지 얼음깨짐 등 수난사고 위험,2020년,17704,37.1122690206,127.0416987843
수난사고,경기도 광명시 소하동 706-5,안양천부근 원형광장 앞 세월교,0회(사고위험),안양천 보행자 전용 다리로 집중호우 시 수난사고 위험,2020년,14324,37.4313488447,126.8967733178
교통사고,경기도 시흥시 정왕동 2690,배곧 신도시 한울공원 일대,50회(사고빈발),인천에서 대부도까지 연결되어 있는 자전거도로로 자전거 이용객과 보행자간 충돌사고 위험,2020년,15119,37.3266646986,126.6838500124
수난사고,경기도 군포시 둔대동 555-3,반월저수지,3회(사고위험),"저수지 둘레로 산책데크 설치로 유동인구 증가, 실족 등 수난사고 위험",2020년,,37.3212851828,126.8924588348
교통사고,경기도 화성시 남양읍 남양리 397-2,하라문교차로,14회(사고빈발),마도공단방면 합류지점으로 대형차량 통행량이 많아 교통사고 위험,2020년,,37.2030084987,126.7998805345
교통사고,경기도 이천시 장호원읍 장호원리 112-16,장호원삼거리,8회(사고위험),차량 통행량 및 불법주정차량이 많아 교통사고 위험,2020년,17419,37.1170282915,127.6296685374
수난사고,경기도 김포시 고촌읍 신곡리,경인아라뱃길 갑문 앞(한강방향),4회(사고위험),한강갑문 입구지역 요트 좌추등 사고 위험,2020년,10130,,
교통사고,경기도 광주시 곤지암읍 삼리 140-2,경충대로 고속도로 합류지점,6회(사고위험),고속도로와 국도 합류지점으로 교통사고 위험,2020년,12805,37.3552282498,127.3221215882
수난사고,경기도 안성시 양성면 방신리 558,만수저수지,0회(사고위험),만수저수지 인근 마을 주민 및 불특정 이용객의 수난사고 위험,2020년,17503,37.0208471622,127.1871158318
교통사고,경기도 하남시 풍산동 495,황산사거리,37회(사고빈발),과속 및 차량간 차선 잦은 변경으로 인한 교통사고 위험,2020년,,37.5497703113,127.1873823563
교통사고,경기도 하남시 광암동 산 30-6,광암터널,11회(사고빈발),터널 내부 급정거 및 공사구간으로 인한 교통사고 위험,2020년,12989,37.5173725798,127.1786620705
교통사고,경기도 의왕시 포일동 201-2,백운안전센터 앞,0회(사고위험),차량 통행량이 많고 긴급출동차량과의 교통사고 위험,2020년,,37.3901175175,126.9925639972
수난사고,경기도 오산시 누읍동 179-4,탑동대교 하상도로(황새로),2회(사고위험),집중호우시 저지대로인한 차량침수 및 고립사고 위험,2020년,,37.1343785035,127.0569353674
수난사고,경기도 여주시 천송동 575-10,여주대교(연인교),52회(사고위험),여주대교 자살시도 및 투신사고 등 다수 발생위험,2020년,12613,37.2989904387,127.6717545203
교통사고,경기도 양평군 서종면 정배리 산106,서후고개(서종면 정배리 산106),23회(사고위험),우천시 토사 유출로 도로상 자전거 및 바이크 운전자 교통사고 위험,2020년,12501,37.5892836877,127.4275547260
교통사고,경기도 양평군 옥천면 신복리 산138-3,일반도로(마유산로),22회(사고빈발),"급커브 및 내리막 도로, 과속방지턱에 의한 교통사고 위험",2020년,12505,37.5689184536,127.4634096659
산악사고,경기도 과천시 중앙동 산 11,관악문 아래 사거리상,11회(사고빈발),급경사지역으로 등산로가 불명확하여 산악 고립사고 위험,2020년,13800,37.4368039479,126.9748247711
수난사고,경기도 고양시 덕양구 행주산성로 155,행주나루터 인근,10회(사고빈발),집중호우시 수위가 증가하는 지역으로 수난사고 위험,2020년,10440,37.5998351457,126.8149079165
안전사고,경기도 고양시 일산동구 장항동 906,호수공원 노래하는 분수대,5회(사고위험),동계 호수 결빙시 얼음파열 등 안전사고 위험,2020년,10400,37.6537546960,126.7686925095
수난사고,경기도 의정부시 가능동 산81-2,안골계곡,0회(사고위험),집중호우시 계곡 수위가 급속히 증가하는 지역으로 수난사고 위험,2020년,11620,37.7367316694,127.0265038101
수난사고,경기도 의정부시 호원동 229-138,원도봉계곡,0회(사고위험),집중호우시 계곡 수위가 급속히 증가하는 지역으로 수난사고 위험,2020년,11645,37.7055895917,127.0316076449
교통사고,경기도 남양주시 진건읍 신월리 666-4,세월교 자전거도로,4회(사고위험),급격한 커브 및 경사로 지역으로 자전거사고 위험,2020년,12131,37.6554195304,127.1515593851
수난사고,경기도 파주시 연풍리 산52-1부근,애룡저수지 입구,1회(사고위험),저수지 입구 이용객 수난사고 다수 발생 위험,2020년,,,
수난사고,경기도 파주시 법원읍 삼방리 486,애룡저수지,2회(사고위험),풍수해 및 해빙기 저수지 얼음깨짐 등 수난사고 위험,2020년,10829,,
안전사고,경기도 구리시 체육관로 114,교문일성아파트 상가 앞 인도,1회(사고위험),보도블럭 훼손 등으로 보행자 안전사고 발생 위험,2020년,11933,37.5946691480,127.1375449014
수난사고,경기도 포천시 관인면 중리 921,중리저수지,11회(사고빈발),풍수해 및 해빙기 저수지 얼음깨짐 등 수난사고 위험,2020년,11100,38.1004527762,127.2017198359
추락사고,경기도 양주시 장흥면 울대리 395-1,송추계곡 탐방로,5회(사고빈발),탐방로 인근 경사지 추락사고 위험,2020년,11522,37.7172049701,126.9766979396
교통사고,경기도 동두천시 지행로 6,아파트 상가 앞 도로,2회(사고위험),다수 불법 주정차 차량 등 차량 밀집지역으로 교통사고 위험,2020년,11349,37.8922638664,127.0476415622
수난사고,경기도 가평군 북면 화악리 1221,화악천변,11회(사고빈발),수중 암반에 대한 위험성 인식 부족으로 다이빙사고 위험,2020년,12402,37.9529844177,127.5309379520
수난사고,경기도 연천군 연천읍 고문리 545,한탄강 댐 진입로 상,0회(사고위험),집중호우시 수위가 증가하는 지역으로 수난사고 위험,2020년,11018,38.0606552414,127.1273078781
