사고유형,사고위치(지번),사고장소,119출동,위험요인,선정연도,정제우편번호,정제WGS84위도,정제WGS84경도
교통사고,경기도 성남시 분당구 수내동 86,현대오일뱅크주유소 진입로,0회(사고위험),상수도관 부분 누수 발생장소로 지반침하 등 사고발생 우려,2022년,13601,37.3679475082,127.1283951460
안전사고,경기도 성남시 분당구 수내동 70,분당천 보도3교 인근,0회(사고위험),"하천변 도로(자전거,보행자 겸용) 설치된 시설물(CCTV) 기울어져 있는 상태로 안전사고 우려",2022년,,37.3739022712,127.1245180109
안전사고,경기도 성남시 분당구 서현동 290-3,탄천변 자전거 도로,4회(사고위험),자전거도로(직선구간)과 족구장이 개방되어 있어 충돌사고 위험,2022년,,37.3882532183,127.1193886895
수난사고,경기도 부천시 상동 549,상동호수공원,4회(사고위험),"주,야간 다수 이용객 사용 등 항시 개방된 호수공원 장소로 수난사고 위험",2022년,14592,37.5061236719,126.7441464922
수난사고,경기도 부천시 오정구 작동442,베르네천,2회(사고위험),안전펜스 등 안전 시설물 부재로 집중 호우시 하류뷰 인근 수난사고 위험,2022년,,37.5107874486,126.8075666885
생활안전(고드름),경기도 안양시 동안구 비산동 585,비산지하차도,16회(사고빈발),교통량이 많아 상시 정체구간인 지하차도로 고드름 낙하 시 차량 및 인명피해 우려 안전사고 위험,2022년,13954,37.3986622002,126.9359379821
수난사고,경기도 안양시 동안구 비산동 596-4,비산교 하부도로,13회(사고빈발),집중 호우 시 침수도로 내 차량 및 인명고립 안전사고 위험,2022년,,37.3955411339,126.9400807451
교통사고,경기도 안양시 만안구 안양동 13-2,예술공원사거리 아르테자이아파트 방향,15회(사고빈발),고가차도 하부 사거리 횡단보도 및 교통시설물 시야확보의 어려움으로 교통사고 위험,2022년,,37.4168242030,126.9178061272
교통사고,경기도 안산시 단원구 초지동 72번지,신안산대학교 입구 삼거리,7회(사고빈발),도로 정체 잦은구간으로 우회전차량과 내리막길 과속차량간 교통사고 위험,2022년,,37.3181124748,126.8090257989
생활안전(고드름),경기도 용인시 수지구 죽전동 1437,꽃메교차로(동백죽전로간 죽전진입로),1회(사고위험),철제난간 고드름 발생구간으로 주행차량 안전사고 위험,2022년,,37.3254193297,127.1213145543
교통사고,경기도 용인시 처인구 양지면 한터로 725,인근 도로상,3회(사고위험),내리막길 커브 구간 과속으로 교통사고 위험,2022년,17155,37.2634452978,127.2825602168
교통사고,경기도 용인시 처인구 모현읍 왕산리 414-10,만남주유소 앞 사거리,2회(사고위험),신호등 정지선 거리 등 도로구간 상 문제로 교통사고 위험,2022년,17035,37.3318733573,127.2465190445
산악사고,경기도 용인시 기흥구 마북동 산 32-15,연원마을 등산로,2회(사고위험),등산로 급경사 구간 안전시설물 부재로 등산객 안전사고 위험,2022년,,37.3011735639,127.1168541213
수난사고,경기도 평택시 현덕면 권관리 956-2,모래톱공원,7회(사고빈발),"주,야간 다수 이용객 사용 등 항시 개방된 호수공원 장소로 수난사고 위험",2022년,,36.9214145632,126.9238295807
안전사고,경기도 평택시 팽성읍 신대리 347,평택국제대교,4회(사고위험),자전거 이용객 등 접근이 용이하지만 교량 난간이 낮아 안전사고 위험,2022년,17979,36.9449996923,126.9871535128
교통사고,경기도 평택시 이충동 602,부영아파트 사거리,13회(사고빈발),상가 및 아파트단지 밀집으로 교통량 혼잡도가 높은 지역으로 교통사고 위험,2022년,,37.0626191737,127.0647972484
교통사고,경기도 평택시 독곡동 351,라이프아파트 사거리,21회(사고빈발),상가 및 아파트단지 밀집으로 교통량 혼잡도가 높은 지역으로 교통사고 위험,2022년,,37.0821601895,127.0622983250
교통사고,경기도 광명시 철산동 오리로 919-24,오리로 인근 경사로,3회(사고위험),급경사 도로이지만 안전시설 부재상태로 결빙 시 교통사고 위험,2022년,,,
교통사고,경기도 광명시 광명동 679-334,광남로 일대,4회(사고위험),과속차량 빈번한 지점으로 교통사고 위험,2022년,,37.4727030924,126.8446868665
수난사고,경기도 시흥시 정왕동 2063,오이도 선착장 주변,16회(사고빈발),다수 이용객 사용장소로 선착장 주변 안전시설 부재로 수난사고 위험,2022년,15015,37.3451142347,126.6857461973
산악사고,경기도 군포시 산본동 840-80,수리산 매바위 암장,1회(사고위험),암장 등반 등 일반인 접근 용이하지만 산악 안전시설 부재로 사고 위험,2022년,15867,37.3573900938,126.9094719307
교통사고,경기도 군포시 금정동 산34-1,금당터널 출구 인근 보도,0회(사고위험),터널 출구 방향 안전시설물 부재로 보행자 안전사고 위험,2022년,,37.3491590111,126.9312287481
교통사고,경기도 화성시 송산면 고정리 315-55,송산포도휴게소 안산방면 합류지점,9회(사고빈발),교통안전시설물 부재로 합류지점 교통사고 위험,2022년,18248,37.2419595820,126.7577336710
교통사고,경기도 이천시 부발읍 응암리 72-1,자동차 전용도로 인근,4회(사고위험),좌회전 차량 및 삼거리 과속차량 시야확보의 어려움으로 교통사고 위험,2022년,17403,37.2355454215,127.5181005081
교통사고,경기도 이천시 대월면 사동리 487,육교 인근 인도종점,0회(사고위험),인도 종점 안내표지판 부재로 챠량과 보행자간 교통사고 위험,2022년,,37.2447209997,127.4953186828
교통사고,경기도 이천시 마장면 회억리 174-8,오천교차로,3회(사고위험),"고가도로 진,출입시 시야 확보가 어려워 교통사고 위험",2022년,17386,37.2546167456,127.3636264877
교통사고,경기도 김포시 걸포동 1215,김포 레코파크 인근 교차로,3회(사고위험),교차로 주변 수목으로 시야 확보가 어려워 교통사고 위험,2022년,,37.6427522505,126.7096335176
교통사고,경기도 김포시 걸포동 2-6,신향삼거리,3회(사고위험),"삼거리 주변 배수구, 보행자 등 교통사고 위험",2022년,,37.6452385248,126.7103807791
교통사고,경기도 광주시 문형동 259-5,문형교차로 상,2회(사고위험),합류구간이 짧아 진행차량과 합류차량간 교통사고 위험,2022년,12774,37.3488223103,127.2124066481
교통사고,경기도 광주시 고산동 산6-13,고산 IC상,8회(사고빈발),진입구간이 짧아 도로 정체시 교통사고 위험,2022년,,37.3768907309,127.2403233219
산악사고,경기도 안성시 안성1동 산22-3,비봉산 등산로,0회(사고위험),다수의 등산객 등 불특정 다수인이 접근하지만 안전시설물 노후화로 산악사고 위험,2022년,,,
산악사고,경기도 하남시 교산동 산10-4,위례둘레길,19회(사고빈발),다수의 등산객 이용구간 안전시설물 노후화로 산악사고 위험,2022년,13018,37.5179895820,127.2086760301
산악사고,경기도 하남시 하산곡동 산18-1,검단산 등산로,45회(사고빈발),다수의 등산객 이용구간 이정표 등 안내시설물 부재로 산악사고 위험,2022년,,37.5117703619,127.2414534489
안전사고,경기도 의왕시 오전동 산4-1,오전저수지 인근,3회(사고위험),지리적 외진곳으로 안전시설물 부재로 안전사고 위험,2022년,,37.3564482433,127.0014601261
교통사고,경기도 오산시 내삼미동 902-2,동탄방향 1번국도 합류 삼거리,5회(사고빈발),좌회선 차량과 우회전 차량간 차선 시야확보 불량으로 교통사고 위험,2022년,,37.1762095256,127.0623057256
교통사고,경기도 여주시 연양동 304-8,금모래은모래 자전거도로,4회(사고위험),캠핑장과 자전거 도로간 개방되어 안전시설물 부재로 이용객 간 충돌사고 위험,2022년,12634,37.2936438147,127.6663831773
산악사고,경기도 양평군 용문면 연수리 산67,"상원사계곡,장군봉마당방위,용문산 정상 구간",127회(사고빈발),다수의 등산객 이용구간 안내시설물 노후화로 산악사고 위험,2022년,12509,37.5547545321,127.5538643171
안전사고,경기도 과천시 부림동56,부림2교 인근,0회(사고위험),"소규모 교량에 보행자,자전거 이용객 사용구간으로 안전시설물 부재 상태로 안전사고 위험",2022년,,37.4368239764,126.9960661894
