학교ID,학교명,소재지도로명주소,위도,경도
B000004229,정남초등학교,경기도 화성시 정남면 만년로 516,37.1678846505,126.9844920495
B000004230,화남초등학교,경기도 화성시 동탄순환대로 4길 16,37.1638554427,127.0960465589
B000004231,팔탄초등학교대방분교장,경기도 화성시 팔탄면 노하길 398,37.1618223349,126.8697434134
B000004232,화성장안초등학교석포분교장,경기도 화성시 장안면 버들로 1201-9,37.1312148946,126.8407036209
B000004236,성호초등학교,경기도 오산시 성호새싹길 8,37.1501831643,127.0710070807
B000004237,운산초등학교,경기도 오산시 운암로 72,37.1528503598,127.0782669258
B000004239,오산원당초등학교,경기도 오산시 원당로 7,37.1417604822,127.0904103021
B000004240,원동초등학교,경기도 오산시 오산로 92,37.1353931264,127.0691202922
B000004241,운암초등학교,경기도 오산시 원동로 63,37.1439641007,127.0762106179
B000004242,대호초등학교,경기도 오산시 궐리사로46번길 3,37.1591040200,127.0578922949
B000004243,오산초등학교,경기도 오산시 가수로 16,37.1442360252,127.0497251275
B000004244,가수초등학교,경기도 오산시 가수로 50,37.1481319396,127.0478327441
B000004245,광성초등학교,경기도 오산시 수목원로 577-18,37.1841480457,127.0397093203
B000004246,금암초등학교,경기도 오산시 수청로 204-20,37.1787288042,127.0439103641
B000004247,필봉초등학교,경기도 오산시 수청로 124,37.1788153201,127.0524151586
B000004248,양산초등학교,경기도 오산시 양산로 448,37.1972067970,127.0321367981
B000004249,문시초등학교,경기도 오산시 여계산로 52-6,37.1741562470,127.0456275445
B000004250,화성초등학교,경기도 오산시 내삼미로 18,37.1649655028,127.0682992048
B000004251,수청초등학교,경기도 오산시 오산대역로 123,37.1707774498,127.0555264135
B000004252,매홀초등학교,경기도 오산시 청학로147번길 10,37.1620983669,127.0632021799
B000004253,오산대원초등학교,경기도 오산시 경기대로25번길 45,37.1304787641,127.0711521084
B000004254,오산고현초등학교,경기도 오산시 남부대로 459,37.1336194934,127.0848811657
B000004255,성산초등학교,경기도 오산시 성호대로 43,37.1504194127,127.0665688681
B000004256,오산원일초등학교,경기도 오산시 오산로132번길 27,37.1394481540,127.0712365975
B000004257,삼미초등학교,경기도 오산시 북삼미로 183-9,37.1913563632,127.0602957772
B000009428,남양중학교,경기도 화성시 남양읍 시청로45번길 9-12,37.2079513177,126.8215771173
B000009429,솔빛중학교,경기도 화성시 동탄반석로 83,37.1959435303,127.0723370633
