학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000003636,조원초등학교,초등학교,1993-09-01,공립,본교,운영,경기도 수원시 장안구 조원동 390,경기도 수원시 장안구 금당로 53,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2025-07-01,37.3032323042,127.0172292746,2025-09-22
B000004671,지산초등학교,초등학교,1954-10-04,공립,본교,운영,경기도 파주시 와동동 1339-5,경기도 파주시 경의로 1274,7530000,경기도교육청,7681000,경기도파주교육지원청,2013-11-29,2025-07-01,37.7309258803,126.7615110625,2025-09-22
B000004720,보산초등학교,초등학교,1971-03-01,공립,본교,운영,경기도 동두천시 생연동 160-14,경기도 동두천시 중앙로 427,7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2013-11-29,2025-07-01,37.9149477552,127.0638850686,2025-09-22
B000004513,장성초등학교,초등학교,1994-11-01,공립,본교,운영,경기도 고양시 일산서구 대화동 2210,경기도 고양시 일산서구 일산로 738,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6779617889,126.7496528788,2025-09-22
B000009651,솔뫼중학교,중학교,2008-03-01,공립,본교,운영,경기도 의정부시 용현동 196,경기도 의정부시 시민로 464-14,7530000,경기도교육청,7561000,경기도의정부교육지원청,2013-11-29,2025-07-01,37.7307871330,127.0824666807,2025-09-22
B000004566,남양주금곡초등학교,초등학교,1919-04-01,공립,본교,운영,경기도 남양주시 금곡동 159-7,경기도 남양주시 금곡로 65-6,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.6356304699,127.2108921715,2025-09-22
B000004783,왕방초등학교,초등학교,2003-03-01,공립,본교,운영,경기도 포천시 신북면 가채리 819-15,경기도 포천시 신북면 학동로 52,7530000,경기도교육청,7711000,경기도포천교육지원청,2013-11-29,2025-07-01,37.9042285697,127.2016658554,2025-09-22
B000004141,안중초등학교,초등학교,1922-05-17,공립,본교,운영,경기도 평택시 안중읍 안중리 247-4,경기도 평택시 안중읍 안중로 89,7530000,경기도교육청,7631000,경기도평택교육지원청,2013-11-29,2025-07-01,36.9896488323,126.9260272564,2025-09-22
B000004677,봉일천초등학교,초등학교,1920-05-01,공립,본교,운영,경기도 파주시 조리읍 봉일천리 191-6,경기도 파주시 조리읍 통일로 333,7530000,경기도교육청,7681000,경기도파주교육지원청,2013-11-29,2025-07-01,37.7449851028,126.8073293585,2025-09-22
B000004565,남양주백봉초등학교,초등학교,2005-09-01,공립,본교,운영,경기도 남양주시 평내동 607,경기도 남양주시 의안로 158,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.6434370330,127.2424190394,2025-09-22
